Key,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,English_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam,Korean_Steam
Equipment.Collar,忠誠の首輪,Collar of Loyalty,忠誠的項圈,忠诚的项圈,忠誠の首輪,Collar of Loyalty,忠誠的項圈,忠诚的项圈,충성의 목걸이
Equipment.Collar_Info,組織への忠誠の証明として着用する首輪。,A collar worn as proof of loyalty to the organization.,代表對組織的忠誠的證明而佩戴的項圈。,代表对组织的忠诚的证明而佩戴的项圈。,組織への忠誠の証明として着用する首輪。,A collar worn as proof of loyalty to the organization.,象徵對組織忠誠度的項圈。,代表对组织的忠诚的证明而佩戴的项圈。,조직에 대한 충성의 증명으로서 착용하는 목걸이.
Equipment.Stick,鉄パイプ,Iron Pipe,鐵製排水管,铁制排水管,鉄パイプ,Iron Pipe,鐵製排水管,铁制排水管,쇠 파이프
Equipment.Sitck_Info,道端に偶然良い棒に出会ったら本能的に拾いたいのは男だ。名付けてナイスステック。,"When a man encounters a nice stick on the roadside, his instinct tells him to pick it up. Call it ""Nice Stick.""",是男人的話在路邊看到好看的棒子就是會有想要撿起來的衝動。被稱為Nice stick。,是男人的话在路边看到好看的棒子就是会有想要捡起来的冲动。被称为Nice stick。,道端に偶然良い棒に出会ったら本能的に拾いたいのは男だ。名付けてナイスステック。,"When a man encounters a nice stick on the roadside, his instinct tells him to pick it up. Call it ""Nice Stick.""",是男人的話在路邊看到好看的棒子就是會有想要撿起來的衝動。被稱為Nice stick。,是男人的话在路边看到好看的棒子就是会有想要捡起来的冲动。被称为Nice stick。,길가에서 우연히 좋은 막대기를 만나면 본능적으로 줍고 싶은 것이 남자다. 이름하여 나이스 스틱.
Equipment.Umbrella,高強度繊維傘,High-Strength Fiber Umbrella,高強度繊維傘,高强度繊维伞,高強度繊維傘,High-Strength Fiber Umbrella,高強度纖維傘,高强度繊维伞,고강도 섬유 우산
Equipment.Umbrella_Info,最新のナノテクノロジーを駆使した日本製の傘。攻撃と防御の二面性を持ち、まさに武器としての芸術品。,A Japanese-made umbrella utilizing the latest nanotechnology. It serves both offensive and defensive roles—truly an artistic weapon.,使用最新的納米技術製造的日本製的雨傘。攻防性能兼具，堪稱武器界的藝術品。,使用最新的纳米技术制造的日本制的雨伞。攻防性能兼具，堪称武器界的艺术品。,最新のナノテクノロジーを駆使した日本製の傘。攻撃と防御の二面性を持ち、まさに武器としての芸術品。,A Japanese-made umbrella utilizing the latest nanotechnology. It serves both offensive and defensive roles—truly an artistic weapon.,使用最新的納米技術製造的日本製雨傘。攻防性能兼具，堪稱武器界的藝術品。,使用最新的纳米技术制造的日本制的雨伞。攻防性能兼具，堪称武器界的艺术品。,"최신 나노 기술을 구사한 일본제 우산. 공격과 방어의 양면성을 가지며, 그야말로 무기로서의 예술품."
Equipment.Stungun,ショックウェーブ・パルサー,Shockwave Pulsar,衝擊波電擊槍,冲击波电击枪,ショックウェーブ・パルサー,Shockwave Pulsar,衝擊波電擊槍,冲击波电击枪,쇼크웨이브・펄서
Equipment.Stungun_Info,"都市伝説として語り継がれるスタンガン、名が囁かれるだけで、敵対者を感電させてしまうという噂が立つ。
敵を行動不能にする特殊技を使えるようになる。","A stun gun passed down as an urban legend; rumors say its mere whisper is enough to shock opponents.
Allows the use of special skills to incapacitate enemies.","作為都市傳說存在的武器。聽說單單是念出名字都足以震懾住敵人。
能暫時封住敵人的行動。","作为都市传说存在的武器。听说单单是念出名字都足以震慑住敌人。
能暂时封住敌人的行动。","都市伝説として語り継がれるスタンガン、名が囁かれるだけで、敵対者を感電させてしまうという噂が立つ。
敵を行動不能にする特殊技を使えるようになる。","A stun gun passed down as an urban legend; rumors say its mere whisper is enough to shock opponents.
Allows the use of special skills to incapacitate enemies.","作為都市傳說存在的武器。聽說單單是念出名字都足以震懾住敵人。
能暫時封住敵人的行動。","作为都市传说存在的武器。听说单单是念出名字都足以震慑住敌人。
能暂时封住敌人的行动。","도시 전설로 전해지는 스턴건, 이름이 속삭여지는 것만으로도, 적대자를 감전시킨다는 소문이 돈다.
적을 행동 불능으로 만드는 특수기를 사용할 수 있게 된다."
Equipment.Glove,雷鋼製の手袋,Thundersteel Gloves,雷鋼手套,雷钢手套,雷鋼製の手袋,Thundersteel Gloves,雷鋼手套,雷钢手套,뇌강제 장갑
Equipment.Glove_Info,"新しく発明された「雷鋼」で作った手袋。
変形可能で攻撃力が向上しますが、非常に重く、実用性が課題となっている。","Gloves crafted from newly invented 'Thundersteel.'
They can transform and increase attack power, but are extremely heavy, raising practical usage issues.","用最新材料技術的結晶「雷鋼」做出來的手套。
因為是可以變形的鋼鐵所以可以用來提升攻擊力，但是非常重所以科學家們正在煩惱怎麼提高實用性。","用最新材料技术的结晶「雷钢」做出来的手套。
因为是可以变形的钢铁所以可以用来提升攻击力，但是非常重所以科学家们正在烦恼怎么提高实用性。","新しく発明された「雷鋼」で作った手袋。
変形可能で攻撃力が向上しますが、非常に重く、実用性が課題となっている。","Gloves crafted from newly invented 'Thundersteel.'
They can transform and increase attack power, but are extremely heavy, raising practical usage issues.","用最新材料技術的結晶「雷鋼」做出來的手套。
因為是可以變形的鋼鐵所以可以提升攻擊力，但是非常重所以科學家們正在煩惱怎麼提高實用性。","用最新材料技术的结晶「雷钢」做出来的手套。
因为是可以变形的钢铁所以可以用来提升攻击力，但是非常重所以科学家们正在烦恼怎幺提高实用性。","새롭게 발명된 「뇌강」으로 만든 장갑.
변형 가능하며 공격력이 향상되지만, 매우 무거워 실용성이 과제가 되고 있다."
Equipment.StolenUndie,聖核戦姫から盗んだパンティ,Panties Stolen from Holy Core Valkyrie,聖核戰姬的內褲,圣核战姬的内裤,聖核戦姫から盗んだパンティ,Panties Stolen from Holy Core Valkyrie,聖核戰姬的內褲,圣核战姬的内裤,성핵전희에게서 훔친 팬티
Equipment.StolenUndie_Info,"身につけた者には、神秘の輝きが満ち、疲れた心と体を癒す力を持っている。
装備者は毎ターンSPを少量回復する。","Those who wear these panties are filled with a mysterious glow, healing both mind and body.
The wearer recovers a small amount of SP each turn.","穿上之後會被迷之光輝圍繞、治愈疲勞的心靈。
裝備者每局會回復少量SP。","穿上之后会被迷之光辉围绕、治愈疲劳的心灵。
装备者每局会回复少量SP。","身につけた者には、神秘の輝きが満ち、疲れた心と体を癒す力を持っている。
装備者は毎ターンSPを少量回復する。","Those who wear these panties are filled with a mysterious glow, healing both mind and body.
The wearer recovers a small amount of SP each turn.","穿上之後會被謎之光輝圍繞、治癒疲勞的心靈。
裝備者每局會回復少量SP。","穿上之后会被迷之光辉围绕、治愈疲劳的心灵。
装备者每局会回复少量SP。","몸에 지닌 자에게는, 신비의 광채가 가득하며, 지친 마음과 몸을 치유하는 힘을 가지고 있다.
장비자는 매 턴 SP를 소량 회복한다."
Equipment.Cushion,フワフワクッション,Fluffy Cushion,軟綿綿枕頭,软绵绵枕头,フワフワクッション,Fluffy Cushion,軟綿綿枕頭,软绵绵枕头,푹신푹신 쿠션
Equipment.Cushion_Info,"触れると心地よい柔らかさが広がり、まるで空気そのものが抱擁しているよう。
装備者は待機時にＳＰとＨＰも回復される。","When touched, it spreads a pleasant softness, like being embraced by air itself.
The wearer recovers SP and HP while waiting.","單單是觸碰就會感覺自己被空氣圍繞一般，非常的軟。
裝備者在待機回合時會回復SP和HP。","单单是触碰就会感觉自己被空气围绕一般，非常的软。
装备者在待机回合时会回复SP和HP。","触れると心地よい柔らかさが広がり、まるで空気そのものが抱擁しているよう。
装備者は待機時にＳＰとＨＰも回復される。","When touched, it spreads a pleasant softness, like being embraced by air itself.
The wearer recovers SP and HP while waiting.","光是觸碰就會感覺自己被柔軟包圍一般，非常的軟。
裝備者在待機回合時會回復SP和HP。","单单是触碰就会感觉自己被空气围绕一般，非常的软。
装备者在待机回合时会回复SP和HP。","닿으면 기분 좋은 부드러움이 퍼져, 마치 공기 자체가 포옹하는 듯하다.
장비자는 대기 시 SP와 HP도 회복된다."
Equipment.Shoes,スプリントシューズ,Sprint Shoes,迅步鞋,迅步鞋,スプリントシューズ,Sprint Shoes,迅步鞋,迅步鞋,스프린트 슈즈
Equipment.Shoes_Info,ただの運動靴、しかし企業が何年もかけたその科学の粋は侮れない。,"Just regular sports shoes, but don't underestimate the culmination of corporate science behind their development over many years.",只是單純的運動鞋、但是不能小看企業花了那麼多年研究出來的技術結晶。,只是单纯的运动鞋、但是不能小看企业花了那么多年研究出来的技术结晶。,ただの運動靴、しかし企業が何年もかけたその科学の粋は侮れない。,"Just regular sports shoes, but don't underestimate the culmination of corporate science behind their development over many years.",只是單純的運動鞋，但是不能小看企業花了那麼多年研究出來的技術結晶。,只是单纯的运动鞋、但是不能小看企业花了那幺多年研究出来的技术结晶。,"단순한 운동화지만, 기업이 몇 년이나 들인 그 과학의 정수는 얕볼 수 없다."
Equipment.Akiho,明穂の聖核,Akiho's Holy Core,明穗的聖核,明穗的圣核,明穂の聖核,Akiho's Holy Core,明穗的聖核,明穗的圣核,아키호의 성핵
Equipment.Akiho_Info,装備者は毎ターンHPとSPを回復する。,The wearer recovers HP and SP each turn.,裝備者在每回合會回復HP和SP。,装备者在每回合会回复HP和SP。,装備者は毎ターンHPとSPを回復する。,The wearer recovers HP and SP each turn.,裝備者在每回合會回復HP和SP。,装备者在每回合会回复HP和SP。,장비자는 매 턴 HP와 SP를 회복한다.
Equipment.Rikka,立花の聖核,Tachibana's Holy Core,立花的聖核,立花的圣核,立花の聖核,Tachibana's Holy Core,立花的聖核,立花的圣核,릿카의 성핵
Equipment.Rikka_Info,ダメージ受けた時に自動的に反撃する。,Automatically counterattacks when taking damage.,裝備者在收到攻擊時會自動反擊。,装备者在收到攻击时会自动反击。,ダメージ受けた時に自動的に反撃する。,Automatically counterattacks when taking damage.,裝備者在受到攻擊時會自動反擊。,装备者在收到攻击时会自动反击。,데미지를 입었을 때 자동적으로 반격한다.
Equipment.Erena,エレナの聖核,Erena's Holy Core,艾蓮娜的聖核,艾莲娜的圣核,エレナの聖核,Erena's Holy Core,艾蓮娜的聖核,艾莲娜的圣核,엘레나의 성핵
Equipment.Erena_Info,攻撃でたまに敵を行動不能にする。,Occasionally incapacitates enemies when attacking.,裝備者的攻擊目標有幾率會陷入昏迷。,装备者的攻击目标有几率会陷入昏迷。,攻撃でたまに敵を行動不能にする。,Occasionally incapacitates enemies when attacking.,裝備者的攻擊目標有機率會陷入昏迷。,装备者的攻击目标有几率会陷入昏迷。,공격으로 가끔 적을 행동 불능으로 만든다.
Equipment.Kei,京の聖核,Kei's Holy Core,京的聖核,京的圣核,京の聖核,Kei's Holy Core,京的聖核,京的圣核,케이의 성핵
Equipment.Kei_Info,装備者以外のパーティーメンバーが全員15点攻撃力増加。,All party members except the wearer gain +15 attack power.,装備者以外的隊友全員增加15點攻擊力。,装备者以外的队友全员增加15点攻击力。,装備者以外のパーティーメンバーが全員15点攻撃力増加。,All party members except the wearer gain +15 attack power.,裝備者以外的隊友全員增加15點攻擊力。,装备者以外的队友全员增加15点攻击力。,장비자 이외의 파티 멤버 전원이 15점 공격력 증가.
Equipment.Nayuta,那由多の聖核,Nayuta's Holy Core,那由多的聖核,那由多的圣核,那由多の聖核,Nayuta's Holy Core,那由多的聖核,那由多的圣核,나유타의 성핵
Equipment.Nayuta_Info,装備者は毎ターン攻撃力を5~15点増加する。,The wearer gains +5~15 attack power each turn.,装備者的攻撃力在每回合增加5~15点。,装备者的攻撃力在每回合增加5~15点。,装備者は毎ターン攻撃力を5~15点増加する。,The wearer gains +5~15 attack power each turn.,裝備者的攻擊力在每回合增加5~15點。,装备者的攻撃力在每回合增加5~15点。,장비자는 매 턴 공격력을 5~15점 증가한다.
Equipment.Diamond,ダイヤモンドの聖核,Diamond's Holy Core,黛雅的聖核,黛雅的圣核,ダイヤモンドの聖核,Diamond's Holy Core,黛雅的聖核,黛雅的圣核,다이아몬드의 성핵
Equipment.Diamond_Info,行動不能になる時35%のHPで一回復活する。,"When incapacitated, revives once with 35% HP.",在行動不能時，將以35%的HP復活一次。,在行动不能时，将以35%的HP复活一次。,行動不能になる時35%のHPで一回復活する。,"When incapacitated, revives once with 35% HP.",在無法行動時，將以35%的HP復活一次。,在无法行动时，将以35%的HP复活一次。,전투 불능이 될 때 HP 35%로 1회 부활한다
Equipment.Hisui,ヒスイの聖核,Hisui's Holy Core,翡翠的聖核,翡翠的圣核,ヒスイの聖核,Hisui's Holy Core,翡翠的聖核,翡翠的圣核,비취의 성핵
Equipment.Hisui_Info,装備者が必ずバトルの最初に行動する。,The wearer always acts first in battle.,裝備者必定在戰鬥開始時先行動。,装备者必定在战斗开始时先行动。,装備者が必ずバトルの最初に行動する。,The wearer always acts first in battle.,裝備者必定在戰鬥開始時先行動。,装备者必定在战斗开始时先行动。,장착자는 반드시 전투 시작 시 가장 먼저 행동한다
Items,アイテム名とその説明文,アイテム名とその説明文,アイテム名とその説明文,アイテム名とその说明文,アイテム名とその説明文,アイテム名とその説明文,アイテム名とその説明文,アイテム名とその说明文,아이템명과 그 설명문
Item.Croissant,クロワッサン,Croissant,可頌,可颂,クロワッサン,Croissant,可頌,可颂,크루아상
Item.Croissant_Info,エレガントな味覚を楽しむための特別な軽食。,A special snack to enjoy an elegant taste.,能夠隨時體驗優雅的味道的方便輕食。,能够随时体验优雅的味道的方便轻食。,エレガントな味覚を楽しむための特別な軽食。,A special snack to enjoy an elegant taste.,享受優雅味蕾體驗的方便輕食。,能够随时体验优雅的味道的方便轻食。,엘레강스한 미각을 즐기기 위한 특별한 간식.
Item.Bread,食パン,Bread,白麵包,白面包,食パン,Bread,吐司,白面包,식빵
Item.Bread_Info,一切の準備が必要なく、どこでも手軽に摂取できるため、忙しい人々に力強い支えを提供している。,"Requires no preparation and can be easily consumed anywhere, providing strong support for busy individuals.",完全不需要準備隨時都可以補充體力的食物。這麼多年來一直支撐著忙碌的人們的生活。,完全不需要准备随时都可以补充体力的食物。这么多年来一直支撑著忙碌的人们的生活。,一切の準備が必要なく、どこでも手軽に摂取できるため、忙しい人々に力強い支えを提供している。,"Requires no preparation and can be easily consumed anywhere, providing strong support for busy individuals.",完全不需要準備，隨時都可以補充體力的食物。這麼多年來一直支撐著忙碌的人們的生活。,完全不需要准备随时都可以补充体力的食物。这幺多年来一直支撑着忙碌的人们的生活。,"일절 준비가 필요 없고, 어디서든 간편하게 섭취할 수 있어, 바쁜 사람들에게 강력한 버팀목을 제공하고 있다."
Item.Melonpan,メロンパン,Melon Bread,哈密瓜面包,哈密瓜面包,メロンパン,Melon Bread,哈密瓜麵包,哈密瓜面包,멜론빵
Item.Melonpan_Info,甘さとふんわりとした食感が特徴の美味しい軽食。,Nice to eat,有點甜甜的麵包。,有点甜甜的面包。,甘さとふんわりとした食感が特徴の美味しい軽食。,Nice to eat,有點甜甜的麵包。,有点甜甜的面包。,단맛과 폭신한 식감이 특징인 맛있는 간식.
Item.Pancake,パンケーキ,,鬆餅,松饼,パンケーキ,Pancake,鬆餅,松饼,팬케이크
Item.Pancake_Info,人気のある朝食料理。,,在年輕人間特別有人氣的早餐。,在年轻人间特别有人气的早餐。,人気のある朝食料理。,A popular breakfast dish loved by many.,在年輕人間特別有人氣的早餐。,在年轻人间特别有人气的早餐。,인기 있는 아침 식사 요리.
Item.Baguette,バゲット,,法國面包,法国面包,バゲット,Baguette,法國麵包,法国面包,바게트
Item.Baguette_Info,棒状の形をしているパン。,,棒状的麵包。,棒状的面包。,棒状の形をしているパン。,"A long, stick-shaped piece of bread.",棒狀造型麵包。,棒状的面包。,막대기 모양을 한 빵.
Item.Hotdog,ホットドッグ,,熱狗,热狗,ホットドッグ,Hot dog,熱狗堡,热狗,핫도그
Item.Hotdog_Info,ソーセージを長いバンに挟んだファーストフード。,,ソーセージを長いバンに挟んだファーストフード。,ソーセージを长いバンに挟んだファーストフード。,ソーセージを長いバンに挟んだファーストフード。,A classic fast food consisting of a sausage in a long bun.,將熱狗香腸夾入長型軟法的經典速食。,将热狗香肠夹入长型软法的经典速食。,소시지를 긴 빵에 끼운 패스트푸드.
Item.Spegetti,スパゲッティ,,スパゲッティ,スパゲッティ,スパゲッティ,Spagetti,義大利麵,意大利面,스파게티
Item.Spegetti_Info,,,,,,,,,
Item.Omelette,オムライス,,オムライス,オムライス,オムライス,Omelet rice,蛋包飯,蛋包饭,오므라이스
Item.Omelette_Info,,,,,,,,,
Item.SteakSet,ステーキ定食,Steak,ステーキ定食,ステーキ定食,ステーキ定食,Steak,牛排定食,牛排定食,스테이크 정식
Item.SteakSet_Info,ジューシーなステーキ肉と付け合わせを組み合わせた、満足感のある食事セット。,,ジューシーなステーキ肉と付け合わせを組み合わせた、満足感のある食事セット。,ジューシーなステーキ肉と付け合わせを组み合わせた、満足感のある食事セット。,ジューシーなステーキ肉と付け合わせを組み合わせた、満足感のある食事セット。,A satisfying meal featuring a juicy steak served with assorted sides.,鮮美多汁的牛排搭配精緻配菜，極具飽足感的超值套餐。,鲜美多汁的牛排搭配精致配菜，极具饱足感的超值套餐。,"육즙 가득한 스테이크 고기와 곁들임 요리를 조합한, 만족감 있는 식사 세트."
Item.Sandwich,サンドイッチ,,サンドイッチ,サンドイッチ,サンドイッチ,,三明治,三文治,샌드위치
Item.Sandwich_Info,,,,,,,,,
Item.Coffee,コーヒー,,コーヒー,コーヒー,コーヒー,Coffee,咖啡,咖啡,커피
Item.Coffee_Info,,,,,,,,,
Item.Tea,紅茶,,紅茶,红茶,紅茶,Black Tea,紅茶,红茶,홍차
Item.Tea_Info,,,,,,,,,
Item.Cola,コーラ,,コーラ,コーラ,コーラ,Coke,可樂,可乐,콜라
Item.Cola_Info,,,,,,,,,
Item.Parfait,パフェ,,パフェ,パフェ,パフェ,Sundae,聖代,圣代,파르페
Item.Parfait_Info,,,,,,,,,
Item.M24,柄付手榴弾,Stick Grenade,柄式手榴弾,柄式手榴弾,柄付手榴弾,Stick Grenade,柄式手榴彈,柄式手榴弾,막대 수류탄
Item.M24_Info,手投げ弾を投げてダメージを与える。,Throw this hand grenade to inflict damage.,向敵人投擲以造成傷害。,向敌人投掷以造成伤害。,手投げ弾を投げてダメージを与える。,Throw this hand grenade to inflict damage.,向敵人投擲以造成傷害。,向敌人投掷以造成伤害。,수류탄을 던져 데미지를 준다.
Item.FirstAid,救急箱,First Aid Kit,救急箱,救急箱,救急箱,First Aid Kit,救急箱,救急箱,구급상자
Item.FirstAid_Info,効果が不安定だが、緊急時には仕方ない。,"Its effectiveness is inconsistent, but in an emergency, there's no choice.",效果有點不穩定，但是緊急事沒辦法想那麼多。,效果有点不稳定，但是紧急事没办法想那么多。,効果が不安定だが、緊急時には仕方ない。,"Its effectiveness is inconsistent, but in an emergency, there's no choice.",效果有點不穩定，但在緊急關頭也別無他法。,效果有点不稳定，但是紧急事没办法想那幺多。,"효과가 불안정하지만, 긴급 시에는 어쩔 수 없다."
Ability,特殊技名とその説明文 (背景色でキャラを分ける),特殊技名とその説明文 (背景色でキャラを分ける),特殊技名とその説明文 (背景色でキャラを分ける),特殊技名とその说明文 (背景色でキャラを分ける),特殊技名とその説明文 (背景色でキャラを分ける),特殊技名とその説明文 (背景色でキャラを分ける),特殊技名とその説明文 (背景色でキャラを分ける),特殊技名とその说明文 (背景色でキャラを分ける),특수기명과 그 설명문 (배경색으로 캐릭터 구분)
Ability.DeepBreath,緊急回復,Emergency Heal,緊急回復,紧急回复,緊急回復,Emergency Heal,緊急回復,紧急回复,긴급 회복
Ability.DeepBreath_Info,"自身のHPを回復
残りHPが少ないほど回復量が多くなる","Restores your own HP.
Recovery increases as remaining HP decreases.","回復自身的HP
HP越少回復量越多","回复自身的HP
HP越少回复量越多","自身のHPを回復
残りHPが少ないほど回復量が多くなる","Restores your own HP.
Recovery increases as remaining HP decreases.","回復自身的HP
HP越少回復量越多","回复自身的HP
HP越少回复量越多","자신의 HP를 회복
남은 HP가 적을수록 회복량이 많아진다"
Ability.PowerfulPunch,パワフルパンチ,Powerful Punch,重拳,重拳,パワフルパンチ,Powerful Punch,重拳,重拳,파워풀 펀치
Ability.PowerfulPunch_Info,"敵１体に普通攻撃の2.5倍ダメージを与える。
使用者がその後の1ターン行動不能になる","Deals 2.5x normal attack damage to a single enemy.
User becomes unable to act for 1 turn afterward.","對敵人單體造成普通攻撃的2.5倍傷害。
使用者會陷入行動不能1回合。","对敌人单体造成普通攻撃的2.5倍伤害。
使用者会陷入行动不能1回合。","敵１体に普通攻撃の2.5倍ダメージを与える。
使用者がその後の1ターン行動不能になる","Deals 2.5x normal attack damage to a single enemy.
User becomes unable to act for 1 turn afterward.","對敵人單體造成普通攻擊的2.5倍傷害。
使用者會無法行動1回合。","对敌人单体造成普通攻撃的2.5倍伤害。
使用者会陷入行动不能1回合。","적 １체에게 일반 공격의 2.5배 데미지를 준다.
사용자가 그 후 1턴 행동 불능이 된다"
Ability.Tackle,共倒れ,Mutual Collapse,同歸於盡,同归于尽,共倒れ,Mutual Collapse,同歸於盡,同归于尽,동귀어진
Ability.Tackle_Info,敵１体と共に1ターン行動不能になる,Both you and a single enemy become unable to act for 1 turn.,與一名敵人一起行動不能1回合。,与一名敌人一起行动不能1回合。,敵１体と共に1ターン行動不能になる,Both you and a single enemy become unable to act for 1 turn.,與一名敵人一起無法行動1回合。,与一名敌人一起行动不能1回合。,적 １체와 함께 1턴 행동 불능이 된다
Ability.SuckingTentacle,吸収触手,Absorbing Tentacles,触手吸收,触手吸收,吸収触手,Absorbing Tentacles,觸手吸收,触手吸收,흡수 촉수
Ability.SuckingTentacle_Info,"相手のSPを半分吸収する

女性相手ならHPも吸収する","Absorbs half of the target’s SP.
If the target is female, also absorbs HP.","吸收一名敵人一半的SP

如果目標是女性連HP也一起吸","吸收一名敌人一半的SP

如果目标是女性连HP也一起吸","相手のSPを半分吸収する

女性相手ならHPも吸収する","Absorbs half of the target’s SP.
If the target is female, also absorbs HP.","吸收一名敵人一半的SP

如果目標是女性連HP也一起吸","吸收一名敌人一半的SP

如果目标是女性连HP也一起吸","상대의 SP를 절반 흡수한다

여성 상대라면 HP도 흡수한다"
Ability.TentacleService,触手サービス,Tentacle Service,触手服務,触手服务,触手サービス,Tentacle Service,觸手服務,触手服务,촉수 서비스
Ability.TentacleService_Info,SPを全部味方に分け与える。(女性相手のみ有効),Distributes all your SP to allies. (Only effective on female allies),將自己的SP全部轉給一名隊友 (只對女性對象有效),将自己的SP全部转给一名队友 (只对女性对象有效),SPを全部味方に分け与える。(女性相手のみ有効),Distributes all your SP to allies. (Only effective on female allies),將自己的SP全部轉給一名隊友 (只對女性對象有效),将自己的SP全部转给一名队友 (只对女性对象有效),SP를 전부 아군에게 나누어 준다. (여성 상대에게만 유효)
Ability.Capture,媚薬ガス,Aphrodisiac Gas,媚薬噴霧,媚薬喷雾,媚薬ガス,Aphrodisiac Gas,媚藥噴霧,媚薬喷雾,미약 가스
Ability.Capture_Info,"敵１体の攻撃力・スピードを一時25%ダウン

女性相手なら防御力と攻撃力をダウンさせる","Reduces a single enemy's attack and speed by 25% temporarily.
If the target is female, also reduces their defense.","讓一名敵人的攻撃力和速度暫時下降25%

如果對象是女性的話攻擊力與防御力也一起下降","让一名敌人的攻撃力和速度暂时下降25%

如果对象是女性的话攻击力与防御力也一起下降","敵１体の攻撃力・スピードを一時25%ダウン

女性相手なら防御力と攻撃力をダウンさせる","Reduces a single enemy's attack and speed by 25% temporarily.
If the target is female, also reduces their defense.","讓一名敵人的攻擊力和速度暫時下降25%
如果對象是女性的話攻擊力與防禦力也一起下降","让一名敌人的攻撃力和速度暂时下降25%

如果对象是女性的话攻击力与防御力也一起下降","적 １체의 공격력・속도를 일시적으로 25% 다운

여성 상대라면 방어력과 공격력을 다운시킨다"
Ability.SelfRepair,自己修復,Self-Repair,自我修復,自我修复,自己修復,Self-Repair,自我修復,自我修复,자가 수복
Ability.SelfRepair_Info,35% HP 回復,Restores 35% HP.,回復 35% HP ,回复 35% HP ,35% HP 回復,Restores 35% HP.,回復 35% HP,回复 35% HP,35% HP 회복
Ability.SelfEnchant,自己改造,Self-Mod,自我改造,自我改造,自己改造,Self-Mod,自我改造,自我改造,자가 개조
Ability.SelfEnchant_Info,ランダムのバフを獲得する,Grants a random buff.,獲得隨機的BUFF,获得随机的BUFF,ランダムのバフを獲得する,Grants a random buff.,獲得隨機的BUFF,获得随机的BUFF,랜덤 버프를 획득한다
Ability.Booster,ブースト,Boost,超頻,超频,ブースト,Boost,超頻,超频,부스트
Ability.Booster_Info,攻撃力 15% アップ,Increases attack by 15%.,攻撃力 增加 15% ,攻撃力 增加 15% ,攻撃力 15% アップ,Increases attack by 15%.,攻擊力 增加 15%,攻撃力 增加 15%,공격력 15% 업
Ability.HealAttack,エナジーレーザー,Energy Laser,能量攻擊,能量攻击,エナジーレーザー,Energy Laser,能量攻擊,能量攻击,에너지 레이저
Ability.HealAttack_Info,相手に30ダメージを与える,Inflicts 30 damage on the target.,對一名敵人造成30點傷害,对一名敌人造成30点伤害,相手に30ダメージを与える,Inflicts 30 damage on the target.,對一名敵人造成30點傷害,对一名敌人造成30点伤害,상대에게 30 데미지를 준다
Ability.GreatRegen,ヒーリング,Healing,回復,回复,ヒーリング,Healing,回復,回复,힐링
Ability.GreatRegen_Info,HPとSPを回復。HPは持続的回復する,"Restores HP and SP, with continuous HP recovery over time.",回復HP和SP。HP會持續回復。,回复HP和SP。HP会持续回复。,HPとSPを回復。HPは持続的回復する,"Restores HP and SP, with continuous HP recovery over time.",回復HP和SP。HP會持續回復。,回复HP和SP。HP会持续回复。,HP와 SP를 회복. HP는 지속적으로 회복된다
Ability.Milk,ミルク補給,Milk Supply,人奶補給,人奶补给,ミルク補給,Milk Supply,人奶補給,人奶补给,밀크 보급
Ability.Milk_Info,味方1体 HP 20~30 回復させる。,Restores 20~30 HP to one ally.,隊友單體回復 HP 20~30。,队友单体回复 HP 20~30。,味方1体 HP 20~30 回復させる。,Restores 20~30 HP to one ally.,隊友單體回復 HP 20~30。,队友单体回复 HP 20~30。,아군 1체 HP 20~30 회복시킨다.
Ability.MilkCookie,特濃ミルク,Extra-Rich Milk,特濃人奶,特浓人奶,特濃ミルク,Extra-Rich Milk,特濃人奶,特浓人奶,특농 밀크
Ability.MilkCookie_Info,行動不能以外のデバフをすべて解除する。,Removes all debuffs except incapacitation.,行動不能以外的DEBUFF全部解除。,行动不能以外的DEBUFF全部解除。,行動不能以外のデバフをすべて解除する。,Removes all debuffs except incapacitation.,行動不能以外的DEBUFF全部解除。,行动不能以外的DEBUFF全部解除。,행동 불능 이외의 디버프를 전부 해제한다.
Ability.MilkOverdrive,ミルク補給オーバードライブ,Milk Supply Overdrive,人奶補給 OVERDRIVE,人奶补给 OVERDRIVE,ミルク補給オーバードライブ,Milk Supply Overdrive,人奶補給 OVERDRIVE,人奶补给 OVERDRIVE,밀크 보급 오버드라이브
