 ,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,Traditional Chinese,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
Dialog.Chapter2-2-68,,部屋のあちこちから隠れていた戦闘員が現れる,部屋のあちこちから隠れていた戦闘員が現れる,隱藏在房間各處的戰鬥員們陸續現身。,隱藏在房間各處的戰鬥員們陸續現身。,Combatants who had been hiding emerge from various parts of the room.,Soldiers emerged from their hiding spots in the room.,방 곳곳에서 숨어 있던 전투원들이 나타난다,隐藏在房间各处的战斗员们陆续现身。
,,,,,,,,,
Dialog.Chapter2-2-69,六花,「…こうなると思った。交渉は決裂か…」,「…こうなると思った。交渉は決裂か…」,「……我就知道會變成這樣。談判破裂了……」,「……我就知道會變成這樣。談判破裂了……」,「I knew this would happen. Negotiations have broken down...」,"""I knew it. I guess our negotiation has gone south.""",「…이렇게 될 줄 알았어. 교섭은 결렬인가…」,「……我就知道会变成这样。谈判破裂了……」
,,,,,,,,,
Dialog.Chapter2-2-70,,「―――変身」,「―――変身」,「―――變身」,「―――變身」,「Transform.」,"""...Transform.""",「―――변신」,「―――变身」
,,,,,,,,,
Dialog.Chapter2-2-71,,六花の体から青色の光が立ち上り、体がスーツに包まれる,六花の体から青色の光が立ち上り、体がスーツに包まれる,藍色光芒自六花體內迸發，身體隨之被戰鬥套裝包覆。,藍色光芒自六花體內迸發，身體隨之被戰鬥套裝包覆。,Blue light rises from Rikka's body and her body is enveloped by the suit.,Rikka's body glowed blue and she was covered in her battle suit.,"릿카의 몸에서 푸른 빛이 피어오르며, 몸이 슈트로 감싸인다",蓝色光芒自六花体内迸发，身体随之被战斗套装包覆。
,,,,,,,,,
Dialog.Chapter2-2-72,005号,「――――総員戦闘準備っ！水無瀬六花を確保する！」,「――――総員戦闘準備っ！水無瀬六花を確保する！」,「――――全員戰鬥準備！抓住水無瀨六花！」,「――――全員戰鬥準備！抓住水無瀨六花！」,「―――― All hands prepare for battle! Capture Minase Rikka!」,"""Ready for battle! We need to capture Rikka Minase!""",「――――총원 전투 준비! 미나세 릿카를 확보한다!」,「――――全员战斗准备！抓住水无濑六花！」
,,,,,,,,,
Dialog.Chapter2-2-73,,戦闘員たちが一斉に六花に襲い掛かる,戦闘員たちが一斉に六花に襲い掛かる,戰鬥員們一齊向六花發動攻擊。,戰鬥員們一齊向六花發動攻擊。,All the combatants attack Rikka at once.,The soldiers attacked Rikka in unison.,전투원들이 일제히 릿카에게 덤벼든다,战斗员们一齐向六花发动攻击。
,,,,,,,,,
Dialog.Chapter2-2-74,六花,「ふんっ！」,「ふんっ！」,「哼！」,「哼！」,「Hmph!」,"""Ha!""",「흥!」,「哼！」
,,,,,,,,,
Dialog.Chapter2-2-75,,六花につけられていた手錠の鎖が糸のように簡単に引きちぎられたと思うと―――,六花につけられていた手錠の鎖が糸のように簡単に引きちぎられたと思うと―――,原本銬在六花身上的手銬鎖鏈，竟如細線般被輕易扯斷——,原本銬在六花身上的手銬鎖鏈，竟如細線般被輕易扯斷——,The chains of the handcuffs on Rikka were ripped off as easily as thread―――.,Rikka broke the handcuffs they placed around her wrists like a thread.,릿카에게 채워져 있던 수갑 사슬이 실처럼 간단히 끊어지는가 싶더니―――,原本铐在六花身上的手铐锁链，竟如细线般被轻易扯断——
,,,,,,,,,
Dialog.Chapter2-2-76,,「あんた達、流石に私を舐めすぎ…、はっ！」,「あんた達、流石に私を舐めすぎ…、はっ！」,「妳們也未免太小看我了……哈！」,「你們也未免太小看我了……哈！」,「You guys underestimated too much...ha!」,"""You really thought this could keep me down? Huh?""","「너희들, 너무 나를 얕봤어…, 하앗!」",「妳们也未免太小看我了……哈！」
,,,,,,,,,
Dialog.Chapter2-2-77,,ドガガガッ！,ドガガガッ！,轟轟轟轟！,轟轟轟轟！,Dogga―ga―ga!,Boom!,도가각!,轰轰轰轰！
,,,,,,,,,
Dialog.Chapter2-2-78,,「がはっ！」,「がはっ！」,「哈！」,「哈！」,「Gaaah!」,"""Ugh!""",「커헉!」,「哈！」
,,,,,,,,,
Dialog.Chapter2-2-79,,六花の回し蹴りの一撃が顎を揺らし、襲い掛かった戦闘員が全員床に崩れ落ちる,六花の回し蹴りの一撃が顎を揺らし、襲い掛かった戦闘員が全員床に崩れ落ちる,被六花的一記迴旋踢震碎下顎，襲向她的戰鬥員們應聲全數倒地。,被六花的一記迴旋踢震碎下顎，襲向她的戰鬥員們應聲全數倒地。,Rikka's spinning kick blow shakes the jaw and all the attacked fighters crumple to the floor.,Rikka launched a roundhouse kick that knocked all the soldiers around her down.,"릿카의 돌려차기 한 방이 턱을 흔들고, 덤벼든 전투원 전원이 바닥에 쓰러진다",被六花的一记回旋踢震碎下颚，袭向她的战斗员们应声全数倒地。
,,,,,,,,,
Dialog.Chapter2-2-80,六花,「もうあんた達にかまってる暇はない。待ってて明穂、今行くから！はぁっ！」,「もうあんた達にかまってる暇はない。待ってて明穂、今行くから！はぁっ！」,「我沒那麼多時間陪妳們。明穗，我現在就去找妳！哈！」,「我沒那麽多時間陪你們。明穗，我現在就去找你！哈！」,"「I don't have time for you guys anymore. Wait for me, Akiho, I'm coming! Haa!」","""I don't have time for this. Akiho, I'm coming to rescue you!""","「이제 너희들 상대할 시간 없어. 기다려 아키호, 지금 갈 테니까! 하아앗!」",「我没那么多时间陪妳们。明穗，我现在就去找妳！哈！」
,,,,,,,,,
Dialog.Chapter2-2-81,,ドゴッ！！,ドゴッ！！,咚轟！！,咚轟！！,!!!!!!!!!!!!!!!!!,Bang!,도곡!!,咚轰！！
,,,,,,,,,
Dialog.Chapter2-2-82,,六花は天井に向かって飛び上がったと思うと、そのまま蹴りで天井を破る,六花は天井に向かって飛び上がったと思うと、そのまま蹴りで天井を破る,六花向天花板飛躍而起，接著一腳踢破了天花板。,六花向天花板飛躍而起，接著一腳踢破了天花板。,Rikka jumps up toward the ceiling and breaks the ceiling with a direct kick,Rikka jumped toward the ceiling and broke through with a kick.,"릿카는 천장을 향해 뛰어오르는가 싶더니, 그대로 발차기로 천장을 부순다",六花向天花板飞跃而起，接着一脚踢破了天花板。
,,,,,,,,,
Dialog.Chapter2-2-83,戦闘員,「なんだコイツっ！、おいっ、他の階の部隊に告ぐっ！水無瀬六花を足止めしろ！」,「なんだコイツっ！、おいっ、他の階の部隊に告ぐっ！水無瀬六花を足止めしろ！」,「這傢伙是怎麼回事！？喂，通報其他樓層的部隊！給我阻止水無瀨六花的行動！」,「這傢伙是怎麽回事！？喂，通報其他樓層的部隊！給我阻止水無瀨六花的行動！」,"「What the hell is this girl? Hey, tell the troops on the other floors! Stop Minase Rikka!」","""What the hell? Alert the teams on the other floors! Stop Rikka Minase!""",「뭐야 이 자식! 어이! 다른 층 부대에게 고한다! 미나세 릿카의 발을 묶어라!」,「这家伙是怎么回事！？喂，通报其他楼层的部队！给我阻止水无濑六花的行动！」
,,,,,,,,,
Dialog.Chapter2-2-84,六花,「無駄だってっ！はぁっ！」,「無駄だってっ！はぁっ！」,「沒用的！哈！」,「沒用的！哈！」,「It's useless! Hah!」,"""It's no use! Haaa!""",「소용없다고! 하아앗!」,「没用的！哈！」
,,,,,,,,,
Dialog.Chapter2-2-85,,ドゴンッ！ドゴンッ！,ドゴンッ！ドゴンッ！,咚轟！！咚轟！！,咚轟！！咚轟！！,Boom!,Boom! Crash!,도공! 도공!,咚轰！！咚轰！！
,,,,,,,,,
Dialog.Chapter2-2-86,,襲い掛かる戦闘員をことごとく瞬殺し、六花は天井を破りながら最短ルートで明穂のいる階に上っていく。,襲い掛かる戦闘員をことごとく瞬殺し、六花は天井を破りながら最短ルートで明穂のいる階に上っていく。,將襲來的戰鬥員一一瞬殺，六花破開天花板，沿最短路徑衝嚮明穗所在的樓層。,將襲來的戰鬥員一一瞬殺，六花破開天花板，沿最短路徑衝向明穗所在的樓層。,"defeating every combatant who try to attacked her, Rikka took the shortest route up to the floor where Akiho was, breaking through the ceiling.","Rikka took down all the soldiers in the blink of an eye, and kept going up by breaking through the ceiling.","덤벼드는 전투원들을 모조리 순살하고, 릿카는 천장을 부수며 최단 루트로 아키호가 있는 층으로 올라간다.",将袭来的战斗员一一瞬杀，六花破开天花板，沿最短路径冲向明穗所在的楼层。
,,,,,,,,,
Dialog.Chapter2-2-87,,(待ってて明穂っ！今行くからっ！),(待ってて明穂っ！今行くからっ！),（等我明穗！我現在就去找妳！）,（等我明穗！我現在就去找你！）,"(Wait for me, Akiho! I'm coming!)","(Just wait, Akiho! I'm coming!)",(기다려 아키호! 지금 갈게!),（等我明穗！我现在就去找妳！）
,,,,,,,,,
Dialog.Chapter2-2-88,,そして六花は、ものの1分ほどで明穂のいる階に到達し―――,そして六花は、ものの1分ほどで明穂のいる階に到達し―――,六花僅用了不到一分鐘便抵達了明穗所在的樓層——,六花僅用了不到一分鐘便抵達了明穗所在的樓層——,"Rikka reached the floor where Akiho was in about a minute, and...",It only took Rikka about a minute to reach the floor that Akiho was on.,그리고 릿카는 불과 1분 만에 아키호가 있는 층에 도착하여―――,六花仅用了不到一分钟便抵达了明穗所在的楼层——
,,,,,,,,,
Dialog.Chapter2-2-89,六花,「―――明穂っ！」,「―――明穂っ！」,「———明穗！」,「———明穗！」,「Akiho!」,"""Akiho...!""",「―――아키호!」,「———明穗！」
,,,,,,,,,
Dialog.Chapter2-2-90,明穂,「――――六花…？」,「――――六花…？」,「———六花…？」,「———六花…？」,「―――― Rikka...?」,"""Rikka?""",「――――릿카…?」,「———六花…？」
,,,,,,,,,
Dialog.Chapter2-2-91,,遂に六花は探していた親友を見つけた,遂に六花は探していた親友を見つけた,終於，六花找到了她一直在尋找的摯友。,終於，六花找到了她一直在尋找的摯友。,"Finally, Rikka found the best friend she was looking for.",Rikka finally found her friend.,마침내 릿카는 찾고 있던 친구를 발견했다,终于，六花找到了她一直在寻找的挚友。
,,,,,,,,,
Chapter 2-3,注釈,,,,,,,,
,廃ビル,,,,,,,,
Dialog.Chapter2-3-1,六花,「―――明穂っ！」,「―――明穂っ！」,「———明穗！」,「———明穗！」,「Akiho!」,"""Akiho!""",「―――아키호!」,「———明穗！」
,,,,,,,,,
Dialog.Chapter2-3-2,明穂,「――――六花…？」,「――――六花…？」,「———六花…？」,「———六花…？」,「―――― Rikka...?」,"""Rikka...""",「――――릿카…?」,「———六花…？」
,,,,,,,,,
Dialog.Chapter2-3-3,戦闘員,「っ！バケモノがっ、もう上がってきやがったのかっ！？」,「っ！バケモノがっ、もう上がってきやがったのかっ！？」,「什、什麼！？竟然已經殺上來了嗎！？」,「什、什麼！？竟然已經殺上來了嗎！？」,「What! This monster has already come up!」,"""She's already up here? What a freak...""","「윽! 괴물 자식이, 벌써 올라온 거냐!」",「什、什么！？竟然已经杀上来了吗！？」
,,,,,,,,,
Dialog.Chapter2-3-4,六花,「―――明穂から離れろっ！」,「―――明穂から離れろっ！」,「――――給我離明穗遠一點！」,「――――給我離明穗遠一點！」,「Get away from Akiho!」,"""Stay away from Akiho!""",「―――아키호에게서 떨어져!」,「――――给我离明穗远一点！」
,,,,,,,,,
Dialog.Chapter2-3-5,,その瞬間、六花の蹴りが戦闘員二人を吹き飛ばす,その瞬間、六花の蹴りが戦闘員二人を吹き飛ばす,只花了一瞬間，六花的踢擊將兩名戰鬥員踢飛。,只花了一瞬間，六花的踢擊將兩名戰鬥員踢飛。,"At that moment, Rikka's kick blows away two combatants.",Rikka sent another two soldiers flying with a kick.,"그 순간, 릿카의 발차기가 전투원 두 명을 날려버린다",只花了一瞬间，六花的踢击将两名战斗员踢飞。
,,,,,,,,,
Dialog.Chapter2-3-6,六花,「明穂っ！」,「明穂っ！」,「明穗！」,「明穗！」,「Akiho!」,"""Akiho!""",「아키호!」,「明穗！」
,,,,,,,,,
Dialog.Chapter2-3-7,明穂,「―――六花！」,「―――六花！」,「———六花！」,「———六花！」,「Rikka!」,"""Rikka!""",「―――릿카!」,「———六花！」
,,,,,,,,,
Dialog.Chapter2-3-8,六花,「よかった…無事で…」,「よかった…無事で…」,「太好了……妳沒事就好……」,「太好了……妳沒事就好……」,「Thank God... you're safe...」,"""I'm glad you're all right...""",「다행이다… 무사했구나…」,「太好了……妳没事就好……」
,,,,,,,,,
Dialog.Chapter2-3-9,明穂,「うん…六花なら助けに来てくれるって信じてた…。」,「うん…六花なら助けに来てくれるって信じてた…。」,「嗯……我就知道，六花一定會來救我……」,「嗯……我就知道，六花一定會來救我……」,「Yes. I've never doubt that Rikka would come to my rescue...」,"""I knew you would come for me...""",「응… 릿카라면 도와주러 올 거라고 믿었어….」,「嗯……我就知道，六花一定会来救我……」
,,,,,,,,,
Dialog.Chapter2-3-10,六花,「早くここから逃げよう。背中につかまって。」,「早くここから逃げよう。背中につかまって。」,「我們趕快離開這裡吧。抓緊我的背後。」,「我們趕快離開這裡吧。抓緊我的背后。」,「Let's get the hell out of here. Hold on to my back.」,"""Let's get out of here. Get on my back.""",「빨리 여기서 도망치자. 등에 매달려.」,「我们赶快离开这里吧。抓紧我的背后。」
,,,,,,,,,
Dialog.Chapter2-3-11,,六花が明穂の拘束を解き、背中に背負って安堵した瞬間,六花が明穂の拘束を解き、背中に背負って安堵した瞬間,六花解開明穗的束縛，將她背到背上，正感到安心的瞬間——,六花解開明穗的束縛，將她背到背上，正感到安心的瞬間——,The moment Rikka released Akiho's restraints and was relieved to carry her on her back,Rikka undid Akiho's restraints and turned her back toward Akiho.,"릿카가 아키호의 구속을 풀고, 등에 업고 안도한 순간",六花解开明穗的束缚，将她背到背上，正感到安心的瞬间——
,,,,,,,,,
Dialog.Chapter2-3-12,,―――六花の首筋にチクリとした痛みが走る,―――六花の首筋にチクリとした痛みが走る,「———六花的脖子傳來一陣刺痛。」,「———六花的脖子傳來一陣刺痛。」,―――A prickle of pain runs down Rikka's neck.,...And then something stung her in the neck.,―――릿카의 목덜미에 따끔한 통증이 스친다,「———六花的脖子传来一阵刺痛。」
,,,,,,,,,
Dialog.Chapter2-3-13,六花,「――――――？っ！」,「――――――？っ！」,「———？！」,「———？！」,「I'm going to go to ――――――? !」,"""...?""",「――――――? 윽!」,「———？！」
,,,,,,,,,
Dialog.Chapter2-3-14,,六花の全身から力が抜け変身が解け、その場に座り込む,六花の全身から力が抜け変身が解け、その場に座り込む,六花全身的力氣瞬間被抽空，變身隨之解除，整個人無力地癱坐在地上。,六花全身的力氣瞬間被抽空，變身隨之解除，整個人無力地癱坐在地上。,"Rikka's entire body relaxes, her transformation is forced to released, and she sits down on the spot.","Rikka lost all her strength and crumpled to the floor, losing her transformation in the process.","릿카의 온몸에서 힘이 빠져 변신이 풀리고, 그 자리에 주저앉는다",六花全身的力气瞬间被抽空，变身随之解除，整个人无力地瘫坐在地上。
,,,,,,,,,
Dialog.Chapter2-3-15,明穂,「うんっ。ちゃんと効いたね～！良かった！」,「うんっ。ちゃんと効いたね～！良かった！」,「嗯～效果很明顯呢！太好了～！」,「嗯～效果很明顯呢！太好了～！」,「It worked! It worked properly~~ That's great!」,"""It worked! Woohoo!""",「응. 제대로 먹혔네~! 다행이다!」,「嗯～效果很明显呢！太好了～！」
,,,,,,,,,
Dialog.Chapter2-3-16,六花,「――――っ、なん…でっ、明穂っ！？」,「――――っ、なん…でっ、明穂っ！？」,「———？！為…為什麼、明穗！」,「———？！為…為什麼、明穗！」,"「――――, what..., Akiho!?」","""...Wh-Why, Akiho?""","「――――윽, 왜…어째서, 아키호!?」",「———？！为…为什么、明穗！」
,,,,,,,,,
Dialog.Chapter2-3-17,明穂,「ごめんね六花。でもしょうがないの…」,「ごめんね六花。でもしょうがないの…」,「對不起，六花。但是我也沒辦法……」,「對不起，六花。但是我也沒辦法……」,「I'm sorry Rikka. But I can't help it...」,"""Sorry, Rikka. I had to do it.""",「미안해 릿카. 하지만 어쩔 수 없어…」,「对不起，六花。但是我也没办法……」
,,,,,,,,,
Dialog.Chapter2-3-18,,明穂の体から赤紫のドロドロとした怪しい光が立ち上り、姿を変える,明穂の体から赤紫のドロドロとした怪しい光が立ち上り、姿を変える,赤紫色、黏稠而詭異的光芒自明穗體內湧出，她的身姿也隨之扭曲改變。,赤紫色、黏稠而詭異的光芒自明穗體內湧出，她的身姿也隨之扭曲改變。,A suspicious reddish-purple sludge light rises from Akiho's body and changes her form.,Akiho's body glowed red and purple as she transformed.,"아키호의 몸에서 자줏빛 질척한 빛이 피어오르며, 모습이 변한다",赤紫色、黏稠而诡异的光芒自明穗体内涌出，她的身姿也随之扭曲改变。
,,,,,,,,,
Dialog.Chapter2-3-19,六花,「――――――っ、――明穂……なの？」,「――――――っ、――明穂……なの？」,「――……妳、是……明穗……嗎？」,「――……妳、是……明穗……嗎？」,「――――――――.....are you.... Akiho.?」,"""...Are you Akiho?""","「――――――윽, ――아키호……맞아?」",「――……妳、是……明穗……吗？」
,,,,,,,,,
Dialog.Chapter2-3-20,明穂,「ふふっ、そうだよ六花♥ちょっと見た目は変わっちゃったかもしれないけど♥」,「ふふっ、そうだよ六花♥ちょっと見た目は変わっちゃったかもしれないけど♥」,「呵呵，是我喔，六花♥ 雖然……外表好像變得有點不一樣了♥」,「呵呵，是我喔，六花♥ 雖然……外表好像變得有點不一樣了♥」,"「Rikka, I may have changed my appearance a little, but I'm still the same person.」","""Yes, I am. I might look a little different, though.""","「후훗, 맞아 릿카♥ 좀 모습은 변했을지도 모르지만♥」",「呵呵，是我喔，六花♥ 虽然……外表好像变得有点不一样了♥」
,,,,,,,,,
Dialog.Chapter2-3-21,,明穂の髪は戦闘員のような白色に変わり、もともと大きめだった胸は肥大化して人間の体とは思えないほどになっている。,明穂の髪は戦闘員のような白色に変わり、もともと大きめだった胸は肥大化して人間の体とは思えないほどになっている。,明穗的髮色轉為與戰鬥員相同的純白，而原本就比一般人豐滿的胸部，更是膨脹到異常巨大，已經到了不像人類身體的程度。,明穗的髮色轉為與戰鬥員相同的純白，而原本就比一般人豐滿的胸部，更是膨脹到異常巨大，已經到了不像人類身體的程度。,"Akiho's hair turned white, and her originally large breasts have become so enlarged that they do not seem human.","Akiho's hair looked white, just like the soldiers. Her already-large breasts were even bigger, so big that they almost didn't look humanly possible.","아키호의 머리카락은 전투원처럼 하얗게 변했고, 원래 컸던 가슴은 비대화되어 인간의 몸이라고는 생각할 수 없을 정도가 되었다.",明穗的发色转为与战斗员相同的纯白，而原本就比一般人丰满的胸部，更是膨胀到异常巨大，已经到了不像人类身体的程度。
,,,,,,,,,
Dialog.Chapter2-3-22,,そして、その口元からはかつての親友がするはずのない淫猥で嗜虐的な笑みがこぼれていた。,そして、その口元からはかつての親友がするはずのない淫猥で嗜虐的な笑みがこぼれていた。,而此刻，那張曾屬於摯友的臉上，卻浮現出過去從未見過、充滿惡意與妖媚的笑容。,而此刻，那張曾屬於摯友的臉上，卻浮現出過去從未見過、充滿惡意與妖媚的笑容。,And her mouth was smiling an obscene and lecherous smile that she would never have done.,"She had a perverted and sadistic smile on her face, one that Rikka had never seen before from her friend.","그리고, 그 입가에서는 과거의 친구가 지을 리 없는 음란하고 가학적인 미소가 흘러나왔다.",而此刻，那张曾属于挚友的脸上，却浮现出过去从未见过、充满恶意与妖媚的笑容。
,,,,,,,,,
Dialog.Chapter2-3-23,明穂,「六花は最初からここに来るように誘導されてたんだよ？流石に床を破ってくるとは思わなかったけど…」,「六花は最初からここに来るように誘導されてたんだよ？流石に床を破ってくるとは思わなかったけど…」,「六花，從一開始的計劃就是把妳引到這裡來喔？雖然我是沒想到妳會直接撞破天花板上來啦……」,「六花，從一開始的計劃就是把你引到這裡來喔？雖然我是沒想到妳會直接撞破天花板上來啦……」,"「Rikka was led to come here from the beginning, you know? I didn't think you'd break through the quicksand floor like that, but...」","""You were guided here, right? I didn't expect you to break the floors, though.""",「릿카는 처음부터 여기 오도록 유도된 거라고? 설마 바닥을 부수고 올 줄은 몰랐지만…」,「六花，从一开始的计划就是把妳引到这里来喔？虽然我是没想到妳会直接撞破天花板上来啦……」
,,,,,,,,,
Dialog.Chapter2-3-24,,そして、物陰から何人もの財団の戦闘員と怪人が現れる。,そして、物陰から何人もの財団の戦闘員と怪人が現れる。,接著，許多財團的戰鬥員與怪人接連從陰影處現身。,接著，許多財團的戰鬥員與怪人接連從陰影處現身。,"Then, out of the shadows, a number of foundation fighters and monsters emerge.",Several Foundation monsters and soldiers emerged from the shadows.,"그리고, 그늘에서 몇 명이나 되는 재단 전투원과 괴인이 나타난다.",接着，许多财团的战斗员与怪人接连从阴影处现身。
,,,,,,,,,
Dialog.Chapter2-3-25,,「私、財団に怪人に改造してもらって、今はこんな素敵な体にしてもらえたの♥六花も怪人になって私と一緒に気持ちよくなっちゃお？」,「私、財団に怪人に改造してもらって、今はこんな素敵な体にしてもらえたの♥六花も怪人になって私と一緒に気持ちよくなっちゃお？」,「我被財團改造成了怪人，現在這副身體超級棒的♥ 六花不如也變成怪人，跟我一起舒服一下嘛～♥」,「我被財團改造成了怪人，現在這副身體超級棒的♥ 六花不如也變成怪人，跟我一起舒服一下嘛～♥」,"「I was converted into a monster by the foundation, and now I have such a wonderful body.」","""The Foundation turned me into a monster and gave me this incredible body. Why don't you join me?""","「나, 재단에서 괴인으로 개조받아서, 지금은 이렇게 멋진 몸이 되었어♥ 릿카도 괴인이 돼서 나랑 같이 기분 좋아지자?」",「我被财团改造成了怪人，现在这副身体超级棒的♥ 六花不如也变成怪人，跟我一起舒服一下嘛～♥」
,,,,,,,,,
Dialog.Chapter2-3-26,六花,「そ、んな…っ」,「そ、んな…っ」,「怎、怎麼會這樣……」,「怎、怎麼會這樣……」,"「Oh, no...」","""I... No...""","「그, 럴…윽」",「怎、怎么会这样……」
,,,,,,,,,
Dialog.Chapter2-3-27,,「……許さないっ！――――――！」,「……許さないっ！――――――！」,「……絕不饒恕妳們！――――――！」,「……絕不饒恕你們！――――――！」,「I won't forgive ......! ――――――!」,"""I can't forgive you for this!""",「……용서 못 해! ――――――!」,「……绝不饶恕妳们！――――――！」
,,,,,,,,,
Dialog.Chapter2-3-28,,力が入らず、朦朧とした意識の中、六花は気合で無理やり立ち上がる。,力が入らず、朦朧とした意識の中、六花は気合で無理やり立ち上がる。,即使全身無力、意識也逐漸模糊，六花仍憑著一股意志硬是撐起身體站了起來。,即使全身無力、意識也逐漸模糊，六花仍憑著一股意志硬是撐起身體站了起來。,"With no strength and in a daze of consciousness, Rikka forced herself to stand up with her spirit.",Rikka tried to stand up despite her mind fading.,"힘이 들어가지 않고, 몽롱한 의식 속에서, 릿카는 기합으로 억지로 일어선다.",即使全身无力、意识也逐渐模糊，六花仍凭着一股意志硬是撑起身体站了起来。
,,,,,,,,,
Dialog.Chapter2-3-29,,「ハァ、ハァッ、明穂は…絶対取り戻すッ！変身っ！」,「ハァ、ハァッ、明穂は…絶対取り戻すッ！変身っ！」,「哈、哈啊……我一定會把明穗……帶回來！變身！」,「哈、哈啊……我一定會把明穗……帶回來！變身！」,"「Huh, huh, Akiho...I'll get you back! Transform!」","""Huff... I will take Akiho back! Transform!""","「하아, 하아앗, 아키호는… 절대로 되찾겠어! 변신!」",「哈、哈啊……我一定会把明穗……带回来！变身！」
,,,,,,,,,
Dialog.Chapter2-3-30,明穂,「さすが六花！やっぱりクスリだけじゃ止められないよね。―――ちょっと痛いかもだけど我慢してね？」,「さすが六花！やっぱりクスリだけじゃ止められないよね。―――ちょっと痛いかもだけど我慢してね？」,「不愧是六花！果然光靠藥物是擋不住妳的呢～♪ 不過……接下來可能會有點痛，妳得忍一忍咯？」,「不愧是六花！果然光靠藥物是擋不住妳的呢～♪ 不過……接下來可能會有點痛，你得忍一忍咯？」,"「Rikka, as expected! I knew drugs alone wouldn't stop you. ―――It might hurt a little bit, but you'll just have to bear with it, okay?」","""Wow, go you! I knew drugs weren't enough to keep you down. This is going to hurt, but bear with me.""",「역시 릿카! 역시 약만으로는 멈출 수 없구나. ―――좀 아플지도 모르지만 참아줘?」,「不愧是六花！果然光靠药物是挡不住妳的呢～♪ 不过……接下来可能会有点痛，妳得忍一忍咯？」
,,,,,,,,,
,戦闘開始,,,,,,,,
,,,,,,,,,
,戦闘終了,,,,,,,,
,,,,,,,,,
Dialog.Chapter2-3-31,六花,「ハァッ、ハァッ、私はっ、負けな―――っっ」,「ハァッ、ハァッ、私はっ、負けな―――っっ」,「哈、哈啊……我、絕對……不會輸——唔！」,「哈、哈啊……我、絕對……不會輸——唔！」,"「Huh, huh, I'm not going to lose...」","""Huff... I... You can't beat me!""","「하아앗, 하아앗, 나는, 지지 않아―――으윽」",「哈、哈啊……我、绝对……不会输——唔！」
,,,,,,,,,
Dialog.Chapter2-3-32,明穂,「おっと！」,「おっと！」,「哎喲！」,「哎喲！」,「Oops!」,"""Whoa!""",「어이쿠!」,「哎哟！」
,,,,,,,,,
Dialog.Chapter2-3-33,,倒れる六花を明穂が受け止める,倒れる六花を明穂が受け止める,明穗一把接住倒下的六花。,明穗一把接住倒下的六花。,Akiho catches Rikka as she falls.,Akiho caught a falling Rikka.,쓰러지는 릿카를 아키호가 받아 안는다,明穗一把接住倒下的六花。
,,,,,,,,,
Dialog.Chapter2-3-34,明穂,「ふふっ、六花負けちゃったね？諦めて私と一緒に楽になろう？」,「ふふっ、六花負けちゃったね？諦めて私と一緒に楽になろう？」,「呵呵，六花輸了呢？放棄抵抗，跟我一起變輕鬆吧？」,「呵呵，六花輸了呢？放棄抵抗，跟我一起變輕鬆吧？」,"「Rikka, you lost, didn't you? Why don't you just give up and get comfortable together with me?」","""But you lost. Just give up and enjoy it with me!""","「후훗, 릿카 져버렸네? 포기하고 나랑 같이 편해지자?」",「呵呵，六花输了呢？放弃抵抗，跟我一起变轻松吧？」
,,,,,,,,,
Dialog.Chapter2-3-35,六花,「……明穂…っ！目を覚まして…っ！」,「……明穂…っ！目を覚まして…っ！」,「……明穗……拜託，清醒一點……！」,「……明穗……拜託，清醒一點……！」,「......Akiho...! Please wake up...!」,"""Akiho! Wake up!""",「……아키호…윽! 정신 차려…윽!」,「……明穗……拜托，清醒一点……！」
,,,,,,,,,
Dialog.Chapter2-3-36,明穂,「大丈夫だよ…堕ちるときは一緒に…ね？」,「大丈夫だよ…堕ちるときは一緒に…ね？」,「沒事的…我們一起墮落吧？」,「沒事的…我們一起墮落吧？」,「Don't worry... Even in the dark we'll fall together... right?」,"""It's fine. We'll fall together, right?""",「괜찮아… 타락도 함께니까… 알겠지?」,「没事的…我们一起堕落吧？」
,,,,,,,,,
Dialog.Chapter2-3-37,,明穂が六花の頭を赤子をなだめるようにをなでると、強烈な眠気と安心感が六花を襲う,明穂が六花の頭を赤子をなだめるようにをなでると、強烈な眠気と安心感が六花を襲う,明穗像安撫孩子般輕撫著六花的頭，強烈的睡意與異樣的安心感頓時席捲而來。,明穗像安撫孩子般輕撫著六花的頭，強烈的睡意與異樣的安心感頓時席捲而來。,"When Akiho patted Rikka's head as if she were soothing a baby, a strong sense of sleepiness and relief overcame Rikka.",Rikka was overcome with a powerful sense of safety and drifted off to sleep as Akiho petted her head like a baby.,"아키호가 릿카의 머리를 달래듯 쓰다듬자, 강렬한 졸음과 안도감이 릿카를 덮친다",明穗像安抚孩子般轻抚着六花的头，强烈的睡意与异样的安心感顿时席卷而来。
,,,,,,,,,
Dialog.Chapter2-3-38,六花,「だめっ―――、あき…ほ…っ」,「だめっ―――、あき…ほ…っ」,「不行……明、穗……」,「不行……明、穗……」,「No... aki... ho...」,"""No... Aki... ho...""","「안 돼―――, 아키… 호…윽」",「不行……明、穗……」
,,,,,,,,,
Dialog.Chapter2-3-39,,「ぁ、―――」,「ぁ、―――」,「啊、——」,「啊、——」,「uh...」,"""Ahh...""","「아, ―――」",「啊、——」
,,,,,,,,,
